"MonitoringLocation","TotalDepth_min","TotalDepth_max","maxSampleDepth_min","maxSampleDepth_max","n_DO_min","n_DO_max","year_min","year_max","TotalDepth_10","TotalDepth_90","maxSampleDepth_10","maxSampleDepth_90","n_DO_10","n_DO_90","Num_Events","boo.CBP144","Latitude","Longitude","UTMX","UTMY"
"1AAUA001.39",2.5,3,1.5,2,3,4,2007,2015,2.5,3,1.5,2,3,4,13,FALSE,38.4,-77.32,297408,4252745
"1AAUA003.71",2,3.5,0.3,2.5,1,6,2004,2015,2,3,0.3,2,1,4,79,FALSE,38.42305,-77.35528,294392,4255382
"1ACHO000.47",2,3.5,1,2.5,2,5,2007,2011,2.7,3.5,1.9,2.5,3.8,5,29,FALSE,38.5,-77.31,298560,4263822
"1ADOU000.60",2,2.5,0.3,1.5,1,3,2004,2015,2,2.5,0.3,1.5,1,3,86,FALSE,38.69778,-77.12111,315541,4285375
"1ANEA000.40",NA,NA,0.3,1.5,1,3,2004,2006,NA,NA,0.3,1,1,1.4,17,FALSE,38.6,-77.25694,303460,4274805
"1ANEA000.57",3,4.5,1,3.5,1,7,2006,2015,3.5,4,1.5,3,3,6,94,FALSE,38.6,-77.25692,303462,4274805
"1AOCC002.47",2.5,5,0.3,4,1,8,2004,2015,3.5,5,0.3,3.5,1,7,89,FALSE,38.64028,-77.22222,306592,4279201
"1APOH000.21",NA,NA,0.3,0.3,1,1,2004,2005,NA,NA,0.3,0.3,1,1,9,FALSE,38.665,-77.13805,313983,4281771
"1APOH000.93",2,3,1,2,2,4,2007,2015,2.5,3,1.5,2,3,4,26,FALSE,38.67,-77.14,313826,4282330
"1APOH002.10",1.9,3,0.5,2,1,4,2007,2009,2,2.66,1,1.6,2,3.9,32,FALSE,38.67589,-77.16642,311543,4283037
"1APOH002.32",1,2.5,0.3,1.5,1,3,2004,2015,2,2.5,0.3,1,1,2,91,FALSE,38.68028,-77.16917,311315,4283530
"1APOM000.60",2.5,3,1.5,2,3,4,2007,2009,2.5,3,1.5,2,3,4,14,FALSE,38.34,-77.29,299863,4246021
"1APOM002.41",2,2.5,0.3,1.5,1,5,2004,2015,2,2.5,0.3,1.5,1,3,79,FALSE,38.3475,-77.3275,296606,4246935
"1AQUA000.43",2.5,4.5,1.5,3.5,3,7,2007,2015,2.9,4,1.5,3,3,6,57,FALSE,38.53,-77.28,301259,4267086
"AAG01",NA,NA,0.1,2,1,3,1993,1996,NA,NA,0.1,1.2,1,2.2,19,FALSE,38.914,-76.94886,331033,4309038
"AAG02",NA,NA,0.1,1,1,2,1996,1998,NA,NA,0.1,0.1,1,1,17,FALSE,38.914,-76.9422,331611,4309026
"ANA01",NA,NA,0.097,3,1,4,1990,2012,NA,NA,0.1,2,1,3,381,FALSE,38.91817,-76.94164,331669,4309488
"ANA02",NA,NA,0.1,0.1,1,1,1990,1997,NA,NA,0.1,0.1,1,1,77,FALSE,38.91567,-76.94525,331350,4309217
"ANA03",NA,NA,0.1,3,1,2,1990,1997,NA,NA,0.1,0.1,1,1,77,FALSE,38.91483,-76.94997,330939,4309132
"ANA04",NA,NA,0.1,2,1,2,1990,1997,NA,NA,0.1,0.1,1,1,75,FALSE,38.91289,-76.95303,330669,4308923
"ANA05",NA,NA,0.1,3,1,4,1990,2012,NA,NA,0.1,2,1,3,212,FALSE,38.90928,-76.95581,330419,4308527
